DOY_TIME;Year;DOY;Time;TIME_DEC;P;FCO2_final_op;Rnet;CO2;H2O;Air_T;Mean_U;RhoCp
1.00;2000;1;0;0;99.393001;-0.47485101;-7.248820667;774.98;0.33;-15.54;2.38645789;1369.68051
1.01;2000;1;30;0.5;99.401666;-0.08666;-7.48845;774.17;0.33;-15.72;2.03204015;1370.72344
1.04;2000;1;100;1;99.404332;-0.44246;-7.63201;773.97;0.33;-15.86;2.49804413;1371.11757
1.05;2000;1;130;1.5;99.411998;-0.90395;-7.65742;774.02;0.32;-15.98;2.14812214;1372.16347
1.08;2000;1;200;2;99.413332;-1.40545;-9.14801;774.48;0.32;-16.1;1.85223456;1371.49045
1.10;2000;1;230;2.5;99.412999;1.44446;-10.38658;774.72;0.32;-16.22;1.4684739;1376.77814
1.13;2000;1;300;3;99.412999;-0.09511;-9.25939;752.99;1.84;-16.37;1.893780143;1300
1.14;2000;1;330;3.5;99.421001;0.04662;-8.73064;775.22;0.32;-16.44;1.75298714;1375.84681
1.17;2000;1;400;4;99.429666;-0.09516;-8.43635;752.99;1.84;-16.52;1.260943543;1300
1.18;2000;1;430;4.5;99.429999;-0.40821;-8.35675;775.84;0.33;-16.57;1.40651746;1374.27785
1.21;2000;1;500;5;99.432;-0.89778;-8.26937;776.22;0.32;-16.62;1.51933998;1374.9283
1.22;2000;1;530;5.5;99.426;-0.99671;-8.62949;776.30;0.32;-16.71;1.51224436;1375.05626
1.25;2000;1;600;6;99.426666;-0.78982;-8.77603;776.52;0.32;-16.79;1.475111;1374.83866
1.26;2000;1;630;6.5;99.429999;-0.40581;-9.01126;776.52;0.32;-16.85;1.73782739;1375.75052
1.29;2000;1;700;7;99.429999;-0.29794;-8.5892;776.75;0.31;-16.89;2.10591861;1375.65926
1.30;2000;1;730;7.5;99.437335;-0.23075;-8.57311;776.85;0.31;-16.93;1.9562727;1375.83111
1.33;2000;1;800;8;99.439335;-0.12355;-8.22816;776.96;0.31;-17.02;1.6774991;1375.71397
1.35;2000;1;830;8.5;99.45;-0.0967;-7.97592;777.15;0.32;-17.05;1.78053988;1375.66234
1.38;2000;1;900;9;99.452666;-0.19318;-8.24562;777.46;0.32;-17.05;1.59560471;1375.77596
1.39;2000;1;930;9.5;99.463666;-0.14237;-8.20713;777.57;0.32;-17.08;1.48965965;1375.67904
1.42;2000;1;1000;10;99.471;-0.3649;-7.82599;777.49;0.32;-17.1;0.98267267;1375.66075
1.43;2000;1;1030;10.5;99.492002;-0.09547;-7.24239;752.99;1.84;-17.11;1.034436893;1300
1.46;2000;1;1100;11;99.507332;-0.58669;-7.56967;778.39;0.33;-17.11;0.91150261;1375.76376
1.47;2000;1;1130;11.5;99.509998;-0.09553;-7.71539;752.99;1.84;-17.1;1.116152843;1300
1.50;2000;1;1200;12;99.525333;-0.09555;-7.83041;752.99;1.84;-17.14;1.03398155;1300
1.51;2000;1;1230;12.5;99.535334;-0.3091;-7.95228;778.90;0.32;-17.18;1.52433892;1375.45024
1.54;2000;1;1300;13;99.540002;-0.03045;-7.76507;779.15;0.32;-17.23;1.6757145;1374.6655
1.55;2000;1;1330;13.5;99.544335;0.05397;-7.34032;779.18;0.32;-17.25;1.32497126;1373.479
1.58;2000;1;1400;14;99.547001;0.3843;-6.55645;781.12;0.33;-17.26;0.81445581;1374.31646
1.60;2000;1;1430;14.5;99.532667;-0.32852;-6.75022;780.55;0.34;-17.26;0.36555023;1374.2063
1.63;2000;1;1500;15;99.523;-0.09571;-7.91855;752.99;1.84;-17.24;0.945730493;1300
